

wavelength (um), T
1.7, 0.0685821
1.69837, 0.0669545
1.69675, 0.0659636
1.69513, 0.0656546
1.69351, 0.0660457
1.69189, 0.0671375
1.69028, 0.0689486
1.68867, 0.0715276
1.68706, 0.0749184
1.68546, 0.0791143
1.68386, 0.0840411
1.68226, 0.0895609
1.68067, 0.0954451
1.67908, 0.101308
1.67749, 0.106574
1.67591, 0.110569
1.67432, 0.112711
1.67275, 0.112687
1.67117, 0.110529
1.6696, 0.106592
1.66803, 0.101464
1.66646, 0.0958148
1.66489, 0.0902262
1.66333, 0.0850981
1.66177, 0.080661
1.66022, 0.0770476
1.65867, 0.074343
1.65712, 0.0725924
1.65557, 0.0718062
1.65403, 0.0719899
1.65249, 0.0731836
1.65095, 0.0754729
1.64941, 0.0789695
1.64788, 0.0837902
1.64635, 0.0900612
1.64482, 0.0979208
1.6433, 0.107473
1.64178, 0.118669
1.64026, 0.13115
1.63875, 0.144112
1.63723, 0.156245
1.63572, 0.165856
1.63422, 0.171295
1.63271, 0.171617
1.63121, 0.167061
1.62971, 0.158917
1.62821, 0.148891
1.62672, 0.138494
1.62523, 0.128776
1.62374, 0.120359
1.62226, 0.11355
1.62078, 0.108447
1.6193, 0.105034
1.61782, 0.10328
1.61634, 0.103194
1.61487, 0.104845
1.6134, 0.108357
1.61194, 0.113917
1.61047, 0.121804
1.60901, 0.132416
1.60756, 0.146254
1.6061, 0.163842
1.60465, 0.18559
1.6032, 0.21153
1.60175, 0.240831
1.6003, 0.271129
1.59886, 0.298105
1.59742, 0.31624
1.59598, 0.321191
1.59455, 0.312328
1.59312, 0.293
1.59169, 0.268367
1.59026, 0.242988
1.58884, 0.219774
1.58741, 0.200092
1.58599, 0.184302
1.58458, 0.172268
1.58316, 0.163706
1.58175, 0.158358
1.58034, 0.156053
1.57894, 0.156729
1.57753, 0.160463
1.57613, 0.167516
1.57473, 0.17837
1.57333, 0.193748
1.57194, 0.214627
1.57055, 0.242253
1.56916, 0.278064
1.56777, 0.323315
1.56639, 0.378092
1.565, 0.43941
1.56362, 0.498843
1.56225, 0.54221
1.56087, 0.555235
1.5595, 0.533518
1.55813, 0.486144
1.55676, 0.428201
1.5554, 0.371738
1.55403, 0.322851
1.55267, 0.283217
1.55132, 0.252353
1.54996, 0.229084
1.54861, 0.212214
1.54726, 0.200759
1.54591, 0.194006
1.54456, 0.191545
1.54322, 0.193266
1.54188, 0.199361
1.54054, 0.210332
1.5392, 0.227055
1.53787, 0.250893
1.53653, 0.283828
1.5352, 0.328527
1.53388, 0.388127
1.53255, 0.46521
1.53123, 0.558835
1.52991, 0.658504
1.52859, 0.738248
1.52727, 0.764086
1.52596, 0.721681
1.52465, 0.631974
1.52334, 0.529503
1.52203, 0.437197
1.52072, 0.362873
1.51942, 0.306124
1.51812, 0.263904
1.51682, 0.233008
1.51553, 0.210834
1.51423, 0.195494
1.51294, 0.185725
1.51165, 0.180771
1.51037, 0.180279
1.50908, 0.184258
1.5078, 0.193103
1.50652, 0.207687
1.50524, 0.229497
1.50396, 0.260845
1.50269, 0.305184
1.50142, 0.36741
1.50015, 0.453633
1.49888, 0.56864
1.49761, 0.707112
1.49635, 0.836684
1.49509, 0.894774
1.49383, 0.841419
1.49257, 0.711611
1.49132, 0.569512
1.49006, 0.45059
1.48881, 0.361443
1.48756, 0.297335
1.48632, 0.251852
1.48507, 0.219793
1.48383, 0.197516
1.48259, 0.182614
1.48135, 0.173565
1.48012, 0.169476
1.47888, 0.169959
1.47765, 0.175082
1.47642, 0.185389
1.47519, 0.201984
1.47397, 0.226753
1.47274, 0.262782
1.47152, 0.315057
1.4703, 0.391529
1.46908, 0.504354
1.46787, 0.669651
1.46665, 0.898356
1.46544, 1.16017
1.46423, 1.33188
1.46302, 1.27918
1.46182, 1.05524
1.46062, 0.810967
1.45941, 0.618993
1.45821, 0.483808
1.45702, 0.391259
1.45582, 0.327947
1.45463, 0.284527
1.45343, 0.254986
1.45224, 0.235552
1.45106, 0.22393
1.44987, 0.218835
1.44869, 0.219722
1.4475, 0.226656
1.44632, 0.240317
1.44514, 0.262164
1.44397, 0.294779
1.44279, 0.342484
1.44162, 0.412476
1.44045, 0.51689
1.43928, 0.676365
1.43811, 0.924716
1.43695, 1.30662
1.43579, 1.8267
1.43462, 2.27672
1.43347, 2.24246
1.43231, 1.76595
1.43115, 1.26175
1.43, 0.899849
1.42885, 0.664908
1.4277, 0.513377
1.42655, 0.413652
1.4254, 0.346516
1.42426, 0.300643
1.42311, 0.269317
1.42197, 0.248525
1.42083, 0.235877
1.4197, 0.230039
1.41856, 0.23045
1.41743, 0.237233
1.4163, 0.251233
1.41517, 0.274208
1.41404, 0.309284
1.41291, 0.361871
1.41179, 0.441446
1.41066, 0.565038
1.40954, 0.763646
1.40842, 1.09052
1.40731, 1.60498
1.40619, 2.19762
1.40508, 2.29739
1.40396, 1.72328
1.40285, 1.11203
1.40175, 0.718027
1.40064, 0.487279
1.39953, 0.349599
1.39843, 0.263767
1.39733, 0.207889
1.39623, 0.170185
1.39513, 0.144063
1.39403, 0.125687
1.39294, 0.112758
1.39185, 0.103879
1.39075, 0.0982055
1.38967, 0.0952734
1.38858, 0.0949163
1.38749, 0.0972587
1.38641, 0.102767
1.38532, 0.112397
1.38424, 0.127923
1.38316, 0.152647
1.38209, 0.192862
1.38101, 0.260669
1.37993, 0.376585
1.37886, 0.54651
1.37779, 0.629784
1.37672, 0.453695
1.37565, 0.249312
1.37459, 0.134854
1.37352, 0.0774101
1.37246, 0.0473018
1.3714, 0.0304235
1.37034, 0.0203463
1.36928, 0.0139984
1.36823, 0.00982656
1.36717, 0.00699556
1.36612, 0.0050242
1.36507, 0.00362103
1.36402, 0.00261133
1.36297, 0.00189647
1.36192, 0.00142396
1.36088, 0.00117192
1.35983, 0.00115505
1.35879, 0.00144914
1.35775, 0.00223182
1.35671, 0.00387071
1.35568, 0.00716577
1.35464, 0.0140335
1.35361, 0.0294299
1.35258, 0.0657162
1.35154, 0.13419
1.35052, 0.161887
1.34949, 0.115591
1.34846, 0.0760391
1.34744, 0.0538739
1.34642, 0.0414136
1.34539, 0.0340132
1.34437, 0.0294348
1.34336, 0.0265619
1.34234, 0.0248105
1.34132, 0.0238814
1.34031, 0.0236322
1.3393, 0.0239985
1.33829, 0.0249634
1.33728, 0.0265778
1.33627, 0.0289995
1.33527, 0.0325143
1.33426, 0.0375505
1.33326, 0.0447632
1.33226, 0.0552994
1.33126, 0.0713727
1.33026, 0.0974418
1.32926, 0.143014
1.32827, 0.230508
1.32727, 0.418451
1.32628, 0.837384
1.32529, 1.29581
1.3243, 0.903081
1.32331, 0.464853
1.32232, 0.261266
1.32134, 0.165688
1.32036, 0.11573
1.31937, 0.0871224
1.31839, 0.0695356
1.31741, 0.058115
1.31644, 0.0504427
1.31546, 0.045283
1.31448, 0.0419771
1.31351, 0.0401349
1.31254, 0.0395021
1.31157, 0.0399422
1.3106, 0.0414818
1.30963, 0.0443703
1.30867, 0.0491184
1.3077, 0.0565398
1.30674, 0.0679352
1.30578, 0.0857193
1.30482, 0.115097
1.30386, 0.168453
1.3029, 0.278361
1.30194, 0.540139
1.30099, 1.15663
1.30003, 1.3667
1.29908, 0.658219
1.29813, 0.308594
1.29718, 0.171392
1.29623, 0.10855
1.29529, 0.0752117
1.29434, 0.0557478
1.2934, 0.0438226
1.29245, 0.0363
1.29151, 0.0313377
1.29057, 0.0278685
1.28964, 0.0254237
1.2887, 0.0239058
1.28776, 0.0233043
1.28683, 0.0235185
1.2859, 0.0243958
1.28496, 0.0259281
1.28403, 0.028434
1.28311, 0.0326038
1.28218, 0.0394761
1.28125, 0.0506604
1.28033, 0.0694335
1.2794, 0.104274
1.27848, 0.180743
1.27756, 0.387164
1.27664, 0.909277
1.27572, 0.777182
1.27481, 0.307188
1.27389, 0.141427
1.27298, 0.0794753
1.27206, 0.0515627
1.27115, 0.0367589
1.27024, 0.0277832
1.26933, 0.0219532
1.26842, 0.0182118
1.26752, 0.0159322
1.26661, 0.0145391
1.26571, 0.0135761
1.26481, 0.0128725
1.2639, 0.0125432
1.263, 0.012779
1.26211, 0.0136161
1.26121, 0.0149225
1.26031, 0.0166544
1.25942, 0.0191921
1.25852, 0.0235054
1.25763, 0.031161
1.25674, 0.0447384
1.25585, 0.0703367
1.25496, 0.128252
1.25408, 0.302651
1.25319, 0.788955
1.2523, 0.510078
1.25142, 0.185129
1.25054, 0.0855491
1.24966, 0.0484768
1.24878, 0.0320743
1.2479, 0.0236182
1.24702, 0.0183823
1.24615, 0.0147117
1.24527, 0.0122176
1.2444, 0.010773
1.24352, 0.0100621
1.24265, 0.00964298
1.24178, 0.00925734
1.24091, 0.00900388
1.24005, 0.00918253
1.23918, 0.00995858
1.23832, 0.0111963
1.23745, 0.012679
1.23659, 0.0145803
1.23573, 0.0178062
1.23487, 0.023989
1.23401, 0.035543
1.23315, 0.0574646
1.23229, 0.107079
1.23144, 0.267859
1.23058, 0.807737
1.22973, 0.437254
1.22888, 0.148154
1.22803, 0.0670553
1.22718, 0.037233
1.22633, 0.0246465
1.22548, 0.0185941
1.22464, 0.014758
1.22379, 0.0117316
1.22295, 0.00952463
1.2221, 0.00835734
1.22126, 0.00798554
1.22042, 0.00780873
1.21958, 0.00743549
1.21875, 0.00703729
1.21791, 0.00710552
1.21707, 0.00787196
1.21624, 0.00903116
1.21541, 0.0101283
1.21457, 0.0112962
1.21374, 0.0136171
1.21291, 0.0187334
1.21208, 0.0283159
1.21126, 0.0452562
1.21043, 0.081873
1.2096, 0.207499
1.20878, 0.78058
1.20796, 0.431645
1.20713, 0.12983
1.20631, 0.0547638
1.20549, 0.0296046
1.20467, 0.020014
1.20386, 0.0153967
1.20304, 0.0119899
1.20222, 0.00915722
1.20141, 0.00734628
1.2006, 0.00667185
1.19978, 0.0065499
1.19897, 0.006272
1.19816, 0.00570202
1.19736, 0.00531858
1.19655, 0.00559006
1.19574, 0.00639256
1.19494, 0.00714259
1.19413, 0.00755462
1.19333, 0.00822262
1.19252, 0.0103294
1.19172, 0.0147063
1.19092, 0.0214307
1.19012, 0.031559
1.18933, 0.0540653
1.18853, 0.139306
1.18773, 0.638492
1.18694, 0.496874
1.18615, 0.117966
1.18535, 0.0446204
1.18456, 0.0246742
1.18377, 0.0174887
1.18298, 0.0130312
1.18219, 0.00929464
1.1814, 0.00675649
1.18062, 0.00574925
1.17983, 0.00563229
1.17905, 0.0054163
1.17827, 0.00474255
1.17748, 0.00409662
1.1767, 0.00409472
1.17592, 0.00469342
1.17514, 0.00522975
1.17436, 0.00526016
1.17359, 0.00523483
1.17281, 0.00615139
1.17204, 0.00845877
1.17126, 0.0114932
1.17049, 0.0145447
1.16972, 0.0195188
1.16895, 0.035298
1.16818, 0.0936102
1.16741, 0.39147
1.16664, 0.6263
1.16587, 0.110995
1.16511, 0.0419057
1.16434, 0.0248601
1.16358, 0.0160267
1.16282, 0.00983764
1.16205, 0.00638879
1.16129, 0.00533785
1.16053, 0.00522486
1.15978, 0.00473634
1.15902, 0.00374508
1.15826, 0.00302266
1.1575, 0.00310571
1.15675, 0.00362667
1.156, 0.00380114
1.15524, 0.00343362
1.15449, 0.00321655
1.15374, 0.00390996
1.15299, 0.00533746
1.15224, 0.00650246
1.15149, 0.00698698
1.15075, 0.00829026
1.15, 0.0136546




wavelength (um), T
1.7, 0.0722917
1.69837, 0.0750027
1.69675, 0.0765965
1.69513, 0.0771841
1.69351, 0.0767309
1.69189, 0.0751026
1.69028, 0.0722469
1.68867, 0.0682504
1.68706, 0.0632
1.68546, 0.0570771
1.68386, 0.0498716
1.68226, 0.0417911
1.68067, 0.0333202
1.67908, 0.0251241
1.67749, 0.0179883
1.67591, 0.0128132
1.67432, 0.0104576
1.67275, 0.0114135
1.67117, 0.0156031
1.6696, 0.0224549
1.66803, 0.0310943
1.66646, 0.0405355
1.66489, 0.0499147
1.66333, 0.0586833
1.66177, 0.0665839
1.66022, 0.07346
1.65867, 0.0791526
1.65712, 0.0835773
1.65557, 0.0867924
1.65403, 0.0888944
1.65249, 0.0898521
1.65095, 0.0894979
1.64941, 0.0876757
1.64788, 0.0843233
1.64635, 0.0793738
1.64482, 0.0726486
1.6433, 0.0639585
1.64178, 0.053367
1.64026, 0.041384
1.63875, 0.0290225
1.63723, 0.0178389
1.63572, 0.00987774
1.63422, 0.00716997
1.63271, 0.0108369
1.63121, 0.0205386
1.62971, 0.0347525
1.62821, 0.0514826
1.62672, 0.0688573
1.62523, 0.0855072
1.62374, 0.10071
1.62226, 0.114231
1.62078, 0.126005
1.6193, 0.135949
1.61782, 0.14402
1.61634, 0.150289
